Lens name,zl,zs,thetaE,thetaeff,thetaap,sigma_ap,dsigma_ap,delta,Survey name,sn_lens_m_b_corr,sn_source_m_b_corr
SDSSJ0008-0004,0.44,1.192,1.16,1.71,1.5,193,36,2.138,SLACS,22.3834,25.7667
SDSSJ0029-0055,0.227,0.931,0.96,2.16,1.5,229,18,2.2184,SLACS,21.1382,24.3638
SDSSJ0037-0942,0.195,0.632,1.53,2.19,1.5,279,10,2.0915,SLACS,20.6552,23.0581
SDSSJ0044+0113,0.12,0.197,0.79,2.61,1.5,266,13,2.126,SLACS,19.3428,20.5488
SDSSJ0109+1500,0.294,0.525,0.69,1.38,1.5,251,19,2.2329,SLACS,21.604,22.9172
SDSSJ0157-0056,0.513,0.924,0.79,1.06,1.5,295,47,2.2678,SLACS,23.0037,24.107
SDSSJ0216-0813,0.332,0.523,1.16,2.67,1.5,333,23,2.1124,SLACS,21.7619,23.0966
SDSSJ0330-0020,0.351,1.071,1.1,1.2,1.5,212,21,2.2781,SLACS,22.2268,25.1875
SDSSJ0405-0455,0.075,0.81,0.8,1.36,1.5,160,7,2.2433,SLACS,18.2233,24.3057
SDSSJ0728+3835,0.206,0.688,1.25,1.78,1.5,214,11,2.2484,SLACS,20.9131,23.5607
SDSSJ0737+3216,0.322,0.581,1.0,2.82,1.5,338,16,2.1556,SLACS,21.6098,23.32
SDSSJ0822+2652,0.241,0.594,1.17,1.82,1.5,259,15,2.1905,SLACS,21.1486,23.2626
SDSSJ0903+4116,0.43,1.065,1.29,1.78,1.5,223,27,2.234,SLACS,22.3913,25.1699
SDSSJ0912+0029,0.164,0.324,1.63,3.87,1.5,326,12,1.9903,SLACS,20.0763,21.6786
SDSSJ0935-0003,0.347,0.467,0.87,4.24,1.5,396,35,2.18,SLACS,22.1633,23.0894
SDSSJ0936+0913,0.19,0.588,1.09,2.11,1.5,243,11,2.1967,SLACS,20.4883,23.3711
SDSSJ0946+1006,0.222,0.609,1.38,2.35,1.5,263,21,2.09,SLACS,20.8058,23.3374
SDSSJ0956+5100,0.241,0.47,1.33,2.19,1.5,334,15,2.2184,SLACS,21.1317,22.9621
SDSSJ0959+4416,0.237,0.531,0.96,1.98,1.5,244,19,2.1537,SLACS,20.866,23.2723
SDSSJ0959+0410,0.126,0.535,0.99,1.39,1.5,197,13,2.2112,SLACS,19.2426,22.8903
SDSSJ1016+3859,0.168,0.439,1.09,1.46,1.5,247,13,2.2577,SLACS,20.0227,22.4152
SDSSJ1020+1122,0.282,0.553,1.2,1.59,1.5,282,18,2.2174,SLACS,21.491,23.237
SDSSJ1023+4230,0.191,0.696,1.41,1.77,1.5,242,15,2.2283,SLACS,20.6652,23.7162
SDSSJ1029+0420,0.104,0.615,1.01,1.56,1.5,210,9,2.1467,SLACS,19.0808,23.4555
SDSSJ1100+5329,0.317,0.858,1.52,2.24,1.5,187,23,2.1529,SLACS,21.68,24.0512
SDSSJ1106+5228,0.095,0.407,1.23,1.68,1.5,262,9,2.299,SLACS,18.9696,22.4384
SDSSJ1112+0826,0.273,0.629,1.49,1.5,1.5,320,20,2.0884,SLACS,21.2885,23.332
SDSSJ1134+6027,0.153,0.474,1.1,2.02,1.5,239,11,2.2211,SLACS,20.0709,22.685
SDSSJ1142+1001,0.222,0.504,0.98,1.91,1.5,221,22,2.2157,SLACS,20.7911,22.8954
SDSSJ1143-0144,0.106,0.402,1.68,4.8,1.5,269,5,2.2184,SLACS,19.1765,22.2265
SDSSJ1153+4612,0.18,0.875,1.05,1.16,1.5,226,15,2.2951,SLACS,20.2979,24.1307
SDSSJ1204+0358,0.164,0.631,1.31,1.47,1.5,267,17,2.2018,SLACS,20.0104,23.4102
SDSSJ1205+4910,0.215,0.481,1.22,2.59,1.5,281,13,2.197,SLACS,20.7649,22.7511
SDSSJ1213+6708,0.123,0.64,1.42,3.23,1.5,292,11,2.3083,SLACS,19.3415,23.537
SDSSJ1218+0830,0.135,0.717,1.45,3.18,1.5,219,10,2.1034,SLACS,19.9836,23.9108
SDSSJ1250+0523,0.232,0.795,1.13,1.81,1.5,252,14,2.2211,SLACS,20.8345,23.9839
SDSSJ1402+6321,0.205,0.481,1.35,2.7,1.5,267,17,2.1424,SLACS,20.6279,22.6426
SDSSJ1403+0006,0.189,0.473,0.83,1.46,1.5,213,17,2.1295,SLACS,20.5094,22.7844
SDSSJ1416+5136,0.299,0.811,1.37,1.43,1.5,240,25,2.1131,SLACS,21.7683,24.0399
SDSSJ1420+6019,0.063,0.535,1.04,2.06,1.5,205,4,2.0663,SLACS,17.7667,22.9604
SDSSJ1430+4105,0.285,0.575,1.52,2.55,1.5,322,32,2.1825,SLACS,21.3205,22.9382
SDSSJ1436-0000,0.285,0.805,1.12,2.24,1.5,224,17,2.1454,SLACS,21.4516,24.1694
SDSSJ1443+0304,0.134,0.419,0.81,0.94,1.5,209,11,2.3924,SLACS,19.5904,22.4333
SDSSJ1451-0239,0.125,0.52,1.04,2.48,1.5,223,14,2.1616,SLACS,19.8887,22.9908
SDSSJ1525+3327,0.358,0.717,1.31,2.9,1.5,264,26,2.1095,SLACS,22.1899,23.6209
SDSSJ1531-0105,0.16,0.744,1.71,2.5,1.5,279,12,2.1617,SLACS,20.1737,23.8295
SDSSJ1538+5817,0.143,0.531,1.0,1.58,1.5,189,12,2.263,SLACS,19.794,23.2579
SDSSJ1621+3931,0.245,0.602,1.29,2.14,1.5,236,20,2.1897,SLACS,20.8733,23.4973
SDSSJ1627-0053,0.208,0.524,1.23,1.98,1.5,290,14,2.1942,SLACS,21.063,22.9244
SDSSJ1630+4520,0.248,0.793,1.78,1.96,1.5,276,16,2.1386,SLACS,21.1746,23.878
SDSSJ1636+4707,0.228,0.675,1.09,1.68,1.5,231,15,2.1451,SLACS,20.9699,23.9721
SDSSJ2238-0754,0.137,0.713,1.27,2.33,1.5,198,11,2.1292,SLACS,19.5945,23.7414
SDSSJ2300+0022,0.228,0.463,1.24,1.83,1.5,279,17,2.0981,SLACS,20.9706,22.7491
SDSSJ2303+1422,0.155,0.517,1.62,3.28,1.5,255,16,2.0625,SLACS,19.9546,22.9294
SDSSJ2321-0939,0.082,0.532,1.6,4.11,1.5,249,8,2.0653,SLACS,18.4685,22.7291
SDSSJ2341+0000,0.186,0.807,1.44,3.15,1.5,207,13,2.1303,SLACS,20.4905,24.1093
SDSSJ0143-1006,0.221,1.1046,1.23,3.24,1.5,203,17,2.0272,S4TM,20.9407,25.652
SDSSJ0159-0006,0.1584,0.7477,0.92,1.58,1.5,216,18,2.2183,S4TM,19.8264,23.9242
SDSSJ0324+0045,0.321,0.9199,0.55,1.67,1.5,183,19,2.0139,S4TM,21.7016,23.9482
SDSSJ0324-0110,0.4456,0.6239,0.63,2.23,1.5,310,38,1.9924,S4TM,22.54,23.3364
SDSSJ0754+1927,0.1534,0.7401,1.04,1.46,1.5,193,16,2.2782,S4TM,19.8461,24.2283
SDSSJ0757+1956,0.1206,0.8326,1.62,3.67,1.5,206,11,2.0392,S4TM,19.5396,24.1038
SDSSJ0826+5630,0.1318,1.2907,1.01,1.64,1.5,163,8,2.2352,S4TM,19.549,25.5011
SDSSJ0847+2348,0.1551,0.5327,0.96,1.54,1.5,199,16,2.1638,S4TM,20.025,22.9942
SDSSJ0851+0505,0.1276,0.6371,0.91,1.35,1.5,175,11,2.1463,S4TM,19.5311,23.6107
SDSSJ0920+3028,0.2881,0.3918,0.7,4.25,1.5,297,17,2.0382,S4TM,21.2849,22.2212
SDSSJ0955+3014,0.3214,0.4671,0.54,2.95,1.5,271,33,2.0682,S4TM,21.9391,22.795
SDSSJ0956+5539,0.1959,0.8483,1.17,1.96,1.5,188,11,2.1924,S4TM,20.8813,23.7865
SDSSJ1010+3124,0.1668,0.4245,1.14,3.26,1.5,221,11,2.0978,S4TM,20.2408,22.4953
SDSSJ1041+0112,0.1006,0.2172,0.6,2.5,1.5,200,7,2.0946,S4TM,19.0452,20.7412
SDSSJ1048+1313,0.133,0.6679,1.18,1.9,1.5,195,10,2.194,S4TM,19.5311,23.8147
SDSSJ1051+4439,0.1634,0.538,0.99,1.66,1.5,216,16,2.2578,S4TM,20.0722,23.0808
SDSSJ1056+4141,0.1343,0.8318,0.72,1.81,1.5,157,10,1.996,S4TM,19.5736,23.9638
SDSSJ1101+1523,0.178,0.5169,1.18,0.89,1.5,270,15,2.1779,S4TM,20.3947,22.8402
SDSSJ1116+0729,0.1697,0.686,0.82,2.44,1.5,190,11,2.1707,S4TM,20.4191,23.7636
SDSSJ1127+2312,0.1303,0.361,1.25,2.69,1.5,230,9,2.1826,S4TM,19.5899,21.8261
SDSSJ1137+1818,0.1241,0.4627,1.29,1.79,1.5,222,8,2.166,S4TM,19.3974,22.7309
SDSSJ1142+2509,0.164,0.6595,0.79,1.51,1.5,159,10,2.1393,S4TM,20.0277,23.6168
SDSSJ1144+0436,0.1036,0.2551,0.76,1.22,1.5,207,14,2.2612,S4TM,18.9549,21.3928
SDSSJ1213+2930,0.0906,0.5954,1.35,1.73,1.5,232,7,2.1345,S4TM,18.7739,23.1978
SDSSJ1301+0834,0.0902,0.5331,1.0,1.25,1.5,178,8,2.2195,S4TM,18.6672,22.9119
SDSSJ1330+1750,0.2074,0.3717,1.01,2.85,1.5,250,12,2.0408,S4TM,20.8195,22.081
SDSSJ1403+3309,0.0625,0.772,1.02,2.0,1.5,190,6,2.2126,S4TM,18.0987,23.9237
SDSSJ1430+6104,0.1688,0.6537,1.0,2.24,1.5,180,15,2.1899,S4TM,20.2625,23.5275
SDSSJ1433+2835,0.0912,0.4115,1.53,3.23,1.5,230,6,2.1494,S4TM,18.9072,22.5601
SDSSJ1541+3642,0.1406,0.7389,1.17,1.55,1.5,194,11,2.1638,S4TM,19.8707,23.739
SDSSJ1543+2202,0.2681,0.3966,0.78,2.32,1.5,285,16,2.0794,S4TM,21.326,22.006
SDSSJ1550+2020,0.1351,0.3501,1.01,1.68,1.5,243,9,2.2222,S4TM,19.8245,22.2343
SDSSJ1553+3004,0.1604,0.5663,0.84,2.15,1.5,194,15,2.2283,S4TM,20.1712,23.1439
SDSSJ1607+2147,0.2089,0.4865,0.57,2.63,1.5,197,16,2.2568,S4TM,20.4769,22.8312
SDSSJ1633+1441,0.1281,0.5804,1.39,2.39,1.5,231,9,2.208,S4TM,19.5873,23.1393
SDSSJ2309-0039,0.2905,1.0048,1.14,2.08,1.5,184,13,2.1382,S4TM,21.4863,24.8647
SDSSJ2324+0105,0.1899,0.2775,0.59,1.1,1.5,245,15,2.2404,S4TM,20.4756,21.6657
SDSSJ0801+4727,0.483,1.518,0.49,0.5,1.0,98,24,2.2364,BELLS,23.0525,26.0333
SDSSJ1234-0241,0.49,1.016,0.53,1.05,1.0,122,31,2.3358,BELLS,23.0253,25.0227
SDSSJ1352+3216,0.463,1.034,1.82,0.58,1.0,161,21,2.2328,BELLS,22.7632,25.2834
SDSSJ1159-0007,0.579,1.346,0.68,0.96,1.0,165,41,2.198,BELLS,23.1644,25.5414
SDSSJ1318-0104,0.659,1.396,0.68,0.69,1.0,177,27,2.3084,BELLS,23.7263,25.8372
SDSSJ1349+3612,0.44,0.893,0.75,1.89,1.0,178,18,2.1269,BELLS,22.8871,23.9465
SDSSJ1221+3806,0.535,1.284,0.7,0.47,1.0,187,48,2.3107,BELLS,23.0675,25.5337
SDSSJ0944-0147,0.539,1.179,0.73,0.48,1.0,204,34,2.2784,BELLS,23.0261,25.6111
SDSSJ1601+2138,0.544,1.446,0.86,0.44,1.0,207,36,2.3259,BELLS,23.3103,26.04
SDSSJ1542+1629,0.352,1.023,1.04,0.73,1.0,210,16,2.2268,BELLS,22.0813,24.7176
SDSSJ0151+0049,0.517,1.364,0.68,0.67,1.0,219,39,2.2182,BELLS,22.9419,25.2049
SDSSJ1337+3620,0.564,1.182,1.39,2.03,1.0,225,35,2.12,BELLS,23.1766,25.4676
SDSSJ2125+0411,0.363,0.978,1.2,0.9,1.0,247,17,2.2281,BELLS,21.9922,24.8581
SDSSJ1545+2748,0.522,1.289,1.21,2.59,1.0,250,37,2.05,BELLS,23.0375,25.6215
SDSSJ1215+0047,0.642,1.297,1.37,0.65,1.0,262,45,2.2424,BELLS,23.5946,25.2962
SDSSJ0830+5116,0.53,1.332,1.14,0.97,1.0,268,36,2.1787,BELLS,22.6272,25.5564
SDSSJ1631+1854,0.408,1.086,1.63,1.43,1.0,272,14,2.1707,BELLS,22.4472,25.0677
SDSSJ2303+0037,0.458,0.936,1.02,1.35,1.0,274,31,2.1499,BELLS,22.7149,24.2801
SDSSJ0747+4448,0.437,0.897,0.61,0.92,1.0,281,52,2.2692,BELLS,22.629,23.6496
SDSSJ2122+0409,0.626,1.452,1.58,0.9,1.0,324,56,2.2174,BELLS,23.4047,25.9065
SDSSJ0747+5055,0.438,0.898,0.75,1.09,1.0,328,60,2.1697,BELLS,22.3723,24.1808
SDSSJ0856+2010,0.5074,2.2335,0.98,0.51,1.0,334,54,2.1226,BELLS GALLERY,22.7663,26.1703
SDSSJ1201+4743,0.5628,2.1258,1.18,0.48,1.0,239,43,1.8471,BELLS GALLERY,23.3486,26.2335
SDSSJ2342-0120,0.527,2.2649,1.11,1.75,1.0,274,43,2.1688,BELLS GALLERY,22.8325,26.9298
